structures,Li volume,CSM,index
5,7.64953421,1.717063397,4.78
5,7.619002122,1.749634195,4.8
5,7.678939474,1.517621811,4.82
5,7.614533039,1.814841218,4.84
5,7.640818067,1.428443638,4.86
5,7.549740424,1.459184281,4.88
5,7.551264524,1.397498646,4.9
5,7.63449914,1.459778171,4.92
5,7.552901157,1.657097181,4.94
5,7.632174367,1.420592366,4.96
5,7.530059136,1.549390451,4.98
5,7.550602996,1.551081898,5
5,7.352981444,2.539590511,5.02
5,7.385461949,2.244352449,5.04
5,7.443291133,2.149871747,5.06
5,7.349921297,2.878487807,5.08
5,7.40876142,2.600109003,5.1
5,7.355043277,2.443479263,5.12
5,7.450369362,2.19715021,5.14
5,7.397631827,2.151804005,5.16
5,7.672509605,2.273944658,5.18
5,7.64605595,2.261199543,5.2
5,7.690743284,2.118151774,5.22
5,7.641895862,2.199548458,5.24
5,7.691080253,2.393809119,5.26
5,7.628720597,2.078050485,5.28
5,7.677956661,2.254379141,5.3
5,7.598139469,2.307125582,5.32
6,7.817097455,1.810111829,5.7
6,7.803709271,3.684468368,5.72
6,7.834078833,2.999088818,5.74
6,7.74080708,3.380793671,5.76
6,7.728673005,2.343930496,5.78
6,7.566514199,2.732247311,5.8
6,7.983384222,1.979905014,5.82
6,7.844587266,2.562472198,5.84
6,7.809606884,2.494056187,5.86
6,7.846173364,2.25459574,5.88
6,7.824055023,2.519411303,5.9
6,7.63211443,3.369920241,5.92
6,7.950381044,2.15671944,5.94
6,7.415372543,4.847886437,5.96
6,7.858931799,3.105025521,5.98
6,7.597988471,3.391836232,6
6,7.644091886,3.225411859,6.02
6,7.849472993,2.966277981,6.04
6,7.779937415,2.962134406,6.06
6,7.728607882,3.400015791,6.08
6,7.112735609,5.858769687,6.1
6,7.821572564,2.018617932,6.12
6,7.668193082,3.227917883,6.14
6,7.642589636,3.095478212,6.16
6,7.569584513,3.958091344,6.18
6,7.758194711,2.203654111,6.2
6,7.745065845,2.648692142,6.22
6,7.902400312,2.575097189,6.24
6,6.638539607,7.808898214,6.26
6,7.889171264,3.131486846,6.28
6,7.810302846,3.722885218,6.3
6,7.85350517,2.908460959,6.32
7,7.444137059,3.344621785,6.7
7,7.385615745,3.75657419,6.72
7,7.450218919,2.718937742,6.74
7,7.133208495,5.755901047,6.76
7,7.001902533,6.892752722,6.78
7,7.329098339,3.023895757,6.8
7,7.187072616,4.179796238,6.82
7,7.01542272,5.956085956,6.84
7,7.077554665,7.454609169,6.86
7,7.20121423,4.861741366,6.88
7,7.025727224,6.257212878,6.9
7,7.376117233,3.096109781,6.92
7,7.056134915,5.224392413,6.94
7,6.607017992,7.735167212,6.96
7,7.015018833,4.602580716,6.98
7,6.801767818,6.252198787,7
7,7.38383613,3.604286716,7.02
7,7.197192827,5.639898099,7.04
7,7.458670512,2.705064428,7.06
7,7.021726506,7.138695677,7.08
