structures,Li volume,CSM,index
9,5.197729259,12.1009605,9.26
9,5.059809427,12.37450274,9.28
9,5.49886966,10.80452856,9.3
9,5.635250612,10.49411864,9.32
10,7.681505974,2.244325824,9.7
10,7.498262247,3.704179225,9.72
10,7.651072244,2.648032013,9.74
10,7.718420013,2.667518609,9.76
10,7.212379019,4.072246102,9.78
10,7.480611864,3.825726101,9.8
10,7.419074076,3.623429476,9.82
10,7.519556504,4.048233302,9.84
10,7.515048163,1.579881683,9.86
10,7.499087732,1.930274593,9.88
10,7.405614502,2.315800678,9.9
10,7.677991704,1.634864727,9.92
10,6.714897123,6.883691004,9.94
10,7.138646191,5.463686355,9.96
10,6.93814268,5.874942401,9.98
10,6.322824936,9.067939468,10
10,6.962995957,7.432499166,10.02
10,7.44801914,3.834098966,10.04
10,7.021149052,5.858054624,10.06
10,7.215558439,5.38088918,10.08
10,7.499212222,2.10579903,10.1
10,7.667959282,1.579505146,10.12
10,7.682606671,1.950122443,10.14
10,7.635335647,1.748022,10.16
10,7.538432177,1.451036195,10.18
10,7.588491965,1.338844622,10.2
10,7.467044631,3.483883976,10.22
10,7.545796822,1.383625813,10.24
10,7.672020116,4.539755515,10.26
10,7.606790565,3.889988203,10.28
10,7.623114961,4.159717993,10.3
10,7.227693307,5.997452683,10.32
